ride_id,rider_id,driver_id,ride_date,pickup_location,drop_location,distance_km,ride_status,pickup_time,dropoff_time
43,177,5,2026-01-28 18:53:29,"Koramangala, Bangalore","Indiranagar, Bangalore",18.51,Completed,2026-01-29 14:21:29,2026-01-29 14:58:30.200
44,257,83,2026-02-07 20:22:23,"Juhu, Mumbai","Ghatkopar, Mumbai",7.26,Completed,2026-02-07 21:22:23,2026-02-07 21:36:54.200
45,298,348,2025-10-19 18:37:57,"Kalyani Nagar, Pune","Aundh, Pune",4.07,Completed,2025-10-20 08:30:57,2025-10-20 08:40:57.000
46,230,138,2025-09-12 13:44:02,"Banjara Hills, Hyderabad","Kukatpally, Hyderabad",1.49,Completed,2025-09-12 18:42:02,2025-09-12 18:52:02.000
47,523,106,2025-03-22 09:25:37,"Colaba, Mumbai","Juhu, Mumbai",21.81,Completed,2025-03-22 18:19:37,2025-03-22 19:03:14.200
48,221,346,2025-06-02 13:36:21,"Kalyani Nagar, Pune","Koregaon Park, Pune",7.51,Cancelled,2025-06-02 17:14:21,2025-06-02 17:29:22.200
49,489,343,2025-04-26 20:42:02,"Vasant Kunj, Delhi","Lajpat Nagar, Delhi",17.67,Cancelled,2025-04-27 08:54:02,2025-04-27 09:29:22.400
50,450,120,2025-09-19 06:27:10,"Gachibowli, Hyderabad","Ameerpet, Hyderabad",6.41,Cancelled,2025-09-20 04:44:10,2025-09-20 04:56:59.200
51,412,108,2026-01-22 07:27:26,"Aundh, Pune","Hinjewadi, Pune",8.38,Completed,2026-01-23 04:29:26,2026-01-23 04:46:11.600
52,300,233,2025-11-14 06:46:38,"Yelahanka, Bangalore","Hebbal, Bangalore",23.33,Completed,2025-11-14 14:44:38,2025-11-14 15:31:17.600
53,116,355,2025-10-28 04:59:52,"Kukatpally, Hyderabad","Hitech City, Hyderabad",19.92,Completed,2025-10-28 05:19:52,2025-10-28 05:59:42.400
54,97,10,2025-05-22 08:38:00,"Koramangala, Bangalore","Hebbal, Bangalore",15.67,Completed,2025-05-22 17:34:00,2025-05-22 18:05:20.400
55,154,150,2025-05-13 23:25:29,"Yelahanka, Bangalore","Jayanagar, Bangalore",16.1,Completed,2025-05-14 04:33:29,2025-05-14 05:05:41.000
56,344,341,2026-02-20 22:45:27,"Whitefield, Bangalore","MG Road, Bangalore",8.26,Completed,2026-02-21 19:54:27,2026-02-21 20:10:58.200
57,321,305,2025-05-13 05:17:48,"Ghatkopar, Mumbai","Powai, Mumbai",3.21,Completed,2025-05-14 03:50:48,2025-05-14 04:00:48.000
58,483,384,2025-09-24 02:06:33,"Indiranagar, Bangalore","Jayanagar, Bangalore",5.22,Cancelled,2025-09-24 06:42:33,2025-09-24 06:52:59.400
59,58,58,2025-03-29 11:38:15,"Whitefield, Bangalore","Jayanagar, Bangalore",9.36,Completed,2025-03-29 13:00:15,2025-03-29 13:18:58.200
60,176,71,2025-11-14 01:28:42,"Saket, Delhi","Connaught Place, Delhi",22.88,Completed,2025-11-15 01:12:42,2025-11-15 01:58:27.600
61,442,227,2025-08-30 02:31:15,"Madhapur, Hyderabad","Hitech City, Hyderabad",23.77,Completed,2025-08-30 04:31:15,2025-08-30 05:18:47.400
62,577,305,2026-01-22 19:21:16,"Kalyani Nagar, Pune","Aundh, Pune",6.84,Completed,2026-01-23 04:29:16,2026-01-23 04:42:56.800
63,343,5,2025-08-24 06:03:57,"Vasant Kunj, Delhi","Karol Bagh, Delhi",11.66,Completed,2025-08-24 19:44:57,2025-08-24 20:08:16.200
64,4,152,2026-02-14 05:44:45,"Aundh, Pune","Koregaon Park, Pune",18.25,Completed,2026-02-14 09:33:45,2026-02-14 10:10:15.000
65,372,30,2026-02-18 21:46:40,"Vasant Kunj, Delhi","Karol Bagh, Delhi",3.36,Completed,2026-02-19 17:22:40,2026-02-19 17:32:40.000
66,556,2,2025-04-18 01:00:34,"Madhapur, Hyderabad","Secunderabad, Hyderabad",14.04,Completed,2025-04-18 10:18:34,2025-04-18 10:46:38.800
67,91,268,2026-01-01 12:36:54,"Vasant Kunj, Delhi","Dwarka, Delhi",4.83,Cancelled,2026-01-01 15:50:54,2026-01-01 16:00:54.000
68,358,36,2025-06-12 00:57:16,"Koramangala, Bangalore","Yelahanka, Bangalore",11.37,Completed,2025-06-12 03:48:16,2025-06-12 04:11:00.400
69,424,11,2025-06-09 20:42:18,"Secunderabad, Hyderabad","Gachibowli, Hyderabad",14.38,Completed,2025-06-10 18:39:18,2025-06-10 19:08:03.600
70,561,349,2025-11-10 00:41:15,"Colaba, Mumbai","Dadar, Mumbai",1.14,Completed,2025-11-10 05:27:15,2025-11-10 05:37:15.000
71,310,121,2025-06-22 13:23:30,"Yelahanka, Bangalore","Whitefield, Bangalore",22.76,Cancelled,2025-06-23 03:54:30,2025-06-23 04:40:01.200
72,297,149,2025-08-20 22:46:06,"Hadapsar, Pune","Aundh, Pune",3.21,Completed,2025-08-21 15:44:06,2025-08-21 15:54:06.000
73,381,118,2025-06-24 03:57:39,"Kukatpally, Hyderabad","Banjara Hills, Hyderabad",12.62,Completed,2025-06-24 06:18:39,2025-06-24 06:43:53.400
74,191,200,2025-12-10 06:56:43,"Hebbal, Bangalore","Jayanagar, Bangalore",24.83,Completed,2025-12-10 07:37:43,2025-12-10 08:27:22.600
75,323,3,2026-01-12 07:53:41,"Hitech City, Hyderabad","Kukatpally, Hyderabad",16.42,Completed,2026-01-13 00:47:41,2026-01-13 01:20:31.400
76,283,135,2025-04-18 02:58:43,"Ameerpet, Hyderabad","Secunderabad, Hyderabad",15.21,Completed,2025-04-18 05:15:43,2025-04-18 05:46:08.200
77,479,331,2025-03-08 03:51:29,"Hinjewadi, Pune","Koregaon Park, Pune",22.03,Completed,2025-03-08 14:37:29,2025-03-08 15:21:32.600
78,600,112,2025-08-03 02:27:05,"Ameerpet, Hyderabad","Gachibowli, Hyderabad",21.32,Completed,2025-08-03 05:11:05,2025-08-03 05:53:43.400
79,411,343,2026-02-21 06:37:04,"Hebbal, Bangalore","Indiranagar, Bangalore",1.45,Cancelled,2026-02-21 13:09:04,2026-02-21 13:19:04.000
80,84,196,2025-12-02 10:41:45,"Lajpat Nagar, Delhi","Vasant Kunj, Delhi",21.89,Completed,2025-12-03 05:02:45,2025-12-03 05:46:31.800
81,159,61,2025-03-02 23:39:42,"Hinjewadi, Pune","Aundh, Pune",4.46,Cancelled,2025-03-03 10:54:42,2025-03-03 11:04:42.000
82,245,232,2025-09-07 22:35:16,"Dwarka, Delhi","Saket, Delhi",4.36,Completed,2025-09-08 02:25:16,2025-09-08 02:35:16.000
83,336,317,2025-05-25 15:59:46,"Ameerpet, Hyderabad","Banjara Hills, Hyderabad",13.88,Completed,2025-05-26 05:13:46,2025-05-26 05:41:31.600
84,319,164,2025-07-17 13:24:39,"Saket, Delhi","Lajpat Nagar, Delhi",2.36,Completed,2025-07-17 15:18:39,2025-07-17 15:28:39.000
85,77,280,2025-12-02 04:47:57,"MG Road, Bangalore","Koramangala, Bangalore",16.52,Completed,2025-12-02 11:55:57,2025-12-02 12:28:59.400
86,534,128,2025-08-21 03:38:41,"Saket, Delhi","Vasant Kunj, Delhi",4.29,Completed,2025-08-21 21:48:41,2025-08-21 21:58:41.000
87,332,120,2025-10-31 13:48:52,"Secunderabad, Hyderabad","Kukatpally, Hyderabad",21.99,Completed,2025-10-31 18:31:52,2025-10-31 19:15:50.800
88,371,218,2025-04-24 12:06:51,"MG Road, Bangalore","Koramangala, Bangalore",7.94,Completed,2025-04-25 07:21:51,2025-04-25 07:37:43.800
89,160,375,2025-04-26 19:00:33,"Bandra, Mumbai","Juhu, Mumbai",10.12,Completed,2025-04-27 07:53:33,2025-04-27 08:13:47.400
90,142,280,2025-10-13 05:38:01,"Hebbal, Bangalore","Jayanagar, Bangalore",18.32,Completed,2025-10-13 09:45:01,2025-10-13 10:21:39.400
91,384,195,2025-10-13 21:22:17,"Saket, Delhi","Karol Bagh, Delhi",13.5,Completed,2025-10-13 22:31:17,2025-10-13 22:58:17.000
92,18,22,2025-09-18 08:05:12,"Yelahanka, Bangalore","Jayanagar, Bangalore",20.38,Completed,2025-09-18 15:24:12,2025-09-18 16:04:57.600
93,3,159,2025-07-10 15:12:14,"Dadar, Mumbai","Bandra, Mumbai",8.58,Completed,2025-07-11 00:49:14,2025-07-11 01:06:23.600
94,144,226,2025-04-24 19:51:23,"Andheri, Mumbai","Juhu, Mumbai",23.77,Completed,2025-04-25 10:55:23,2025-04-25 11:42:55.400
95,282,161,2025-11-17 14:53:13,"Jayanagar, Bangalore","MG Road, Bangalore",13.21,Completed,2025-11-18 08:49:13,2025-11-18 09:15:38.200
96,31,302,2025-09-30 09:00:33,"Indiranagar, Bangalore","Jayanagar, Bangalore",11.95,Cancelled,2025-09-30 14:00:33,2025-09-30 14:24:27.000
97,55,46,2025-10-30 08:36:54,"Rajouri Garden, Delhi","Karol Bagh, Delhi",23.14,Completed,2025-10-30 13:36:54,2025-10-30 14:23:10.800
98,8,333,2025-12-24 16:29:21,"Madhapur, Hyderabad","Banjara Hills, Hyderabad",9.01,Completed,2025-12-24 22:27:21,2025-12-24 22:45:22.200
99,255,52,2025-03-07 07:58:54,"Powai, Mumbai","Andheri, Mumbai",18.21,Completed,2025-03-07 15:41:54,2025-03-07 16:18:19.200
100,171,363,2025-05-27 14:24:35,"Ameerpet, Hyderabad","Kukatpally, Hyderabad",18.44,Completed,2025-05-28 07:59:35,2025-05-28 08:36:27.800
101,171,185,2026-01-01 12:45:10,"Hinjewadi, Pune","Hadapsar, Pune",9.86,Completed,2026-01-01 17:49:10,2026-01-01 18:08:53.200
102,156,167,2025-12-16 21:58:16,"Hadapsar, Pune","Aundh, Pune",17.04,Completed,2025-12-17 15:45:16,2025-12-17 16:19:20.800
103,541,377,2025-10-14 08:44:59,"MG Road, Bangalore","Indiranagar, Bangalore",1.09,Completed,2025-10-14 18:35:59,2025-10-14 18:45:59.000
104,448,176,2025-07-04 20:42:15,"Karol Bagh, Delhi","Rajouri Garden, Delhi",21.25,Completed,2025-07-05 17:04:15,2025-07-05 17:46:45.000
105,93,362,2025-04-21 15:18:34,"Koregaon Park, Pune","Shivajinagar, Pune",14.49,Cancelled,2025-04-21 19:23:34,2025-04-21 19:52:32.800
106,451,263,2025-05-13 09:16:58,"Hebbal, Bangalore","Jayanagar, Bangalore",20.66,Completed,2025-05-13 20:33:58,2025-05-13 21:15:17.200
107,425,200,2025-11-26 15:48:07,"Dadar, Mumbai","Andheri, Mumbai",16.68,Completed,2025-11-26 21:31:07,2025-11-26 22:04:28.600
108,542,389,2025-03-17 00:25:14,"Gachibowli, Hyderabad","Kukatpally, Hyderabad",17.16,Completed,2025-03-17 12:41:14,2025-03-17 13:15:33.200
109,239,238,2025-06-03 02:01:43,"Secunderabad, Hyderabad","Madhapur, Hyderabad",7.03,Completed,2025-06-03 16:24:43,2025-06-03 16:38:46.600
110,162,202,2025-06-04 06:48:11,"Secunderabad, Hyderabad","Hitech City, Hyderabad",7.67,Completed,2025-06-05 04:58:11,2025-06-05 05:13:31.400
111,101,10,2026-01-09 04:18:26,"Andheri, Mumbai","Ghatkopar, Mumbai",13.29,Completed,2026-01-10 03:43:26,2026-01-10 04:10:00.800
112,378,308,2025-10-11 14:30:52,"Koramangala, Bangalore","Hebbal, Bangalore",12.02,Completed,2025-10-12 04:41:52,2025-10-12 05:05:54.400
113,504,1,2025-05-05 01:59:45,"Connaught Place, Delhi","Dwarka, Delhi",7.32,Completed,2025-05-05 21:39:45,2025-05-05 21:54:23.400
114,361,5,2025-08-28 01:30:17,"Koramangala, Bangalore","Indiranagar, Bangalore",14.21,Completed,2025-08-28 22:13:17,2025-08-28 22:41:42.200
115,374,149,2025-04-05 13:37:29,"Madhapur, Hyderabad","Ameerpet, Hyderabad",7.73,Cancelled,2025-04-06 01:16:29,2025-04-06 01:31:56.600
116,179,155,2025-04-24 10:52:49,"Kalyani Nagar, Pune","Koregaon Park, Pune",11.23,Completed,2025-04-24 18:01:49,2025-04-24 18:24:16.600
117,259,361,2025-12-01 17:31:46,"Vasant Kunj, Delhi","Connaught Place, Delhi",13.25,Completed,2025-12-02 06:09:46,2025-12-02 06:36:16.000
118,444,355,2025-04-16 14:10:47,"Yelahanka, Bangalore","Jayanagar, Bangalore",16.67,Completed,2025-04-16 14:46:47,2025-04-16 15:20:07.400
119,205,374,2025-06-06 22:13:08,"MG Road, Bangalore","Indiranagar, Bangalore",15.7,Completed,2025-06-07 04:23:08,2025-06-07 04:54:32.000
120,342,280,2025-11-20 07:25:57,"Andheri, Mumbai","Dadar, Mumbai",12.71,Completed,2025-11-21 05:29:57,2025-11-21 05:55:22.200
121,373,320,2026-01-20 05:35:57,"Connaught Place, Delhi","Rajouri Garden, Delhi",22.48,Completed,2026-01-20 11:27:57,2026-01-20 12:12:54.600
122,76,362,2025-05-27 04:31:02,"Yelahanka, Bangalore","Whitefield, Bangalore",18.47,Completed,2025-05-28 00:36:02,2025-05-28 01:12:58.400
123,172,358,2025-04-08 11:16:37,"Ameerpet, Hyderabad","Kukatpally, Hyderabad",23.96,Completed,2025-04-08 23:16:37,2025-04-09 00:04:32.200
124,118,30,2025-07-06 18:40:52,"Madhapur, Hyderabad","Gachibowli, Hyderabad",13.93,Cancelled,2025-07-07 01:13:52,2025-07-07 01:41:43.600
125,289,380,2026-02-25 02:02:15,"Ameerpet, Hyderabad","Madhapur, Hyderabad",7.35,Completed,2026-02-25 20:02:15,2026-02-25 20:16:57.000
126,113,57,2025-03-28 14:33:16,"Dwarka, Delhi","Lajpat Nagar, Delhi",12.39,Completed,2025-03-28 18:22:16,2025-03-28 18:47:02.800
127,179,289,2025-04-22 07:25:46,"Connaught Place, Delhi","Rajouri Garden, Delhi",17.18,Completed,2025-04-22 16:00:46,2025-04-22 16:35:07.600
128,432,217,2025-05-31 06:58:55,"Koramangala, Bangalore","MG Road, Bangalore",18.72,Completed,2025-06-01 06:34:55,2025-06-01 07:12:21.400
129,387,71,2025-09-12 04:09:57,"Ghatkopar, Mumbai","Powai, Mumbai",10.59,Completed,2025-09-12 07:59:57,2025-09-12 08:21:07.800
130,405,202,2025-11-26 21:31:36,"Dwarka, Delhi","Karol Bagh, Delhi",9.48,Completed,2025-11-27 12:15:36,2025-11-27 12:34:33.600
131,180,93,2025-12-16 16:42:59,"Connaught Place, Delhi","Lajpat Nagar, Delhi",1.08,Completed,2025-12-17 14:15:59,2025-12-17 14:25:59.000
132,415,131,2025-05-23 12:25:42,"Shivajinagar, Pune","Hadapsar, Pune",23.06,Cancelled,2025-05-23 16:41:42,2025-05-23 17:27:49.200
133,250,65,2025-11-17 09:56:45,"Rajouri Garden, Delhi","Lajpat Nagar, Delhi",3.28,Completed,2025-11-17 15:02:45,2025-11-17 15:12:45.000
134,470,387,2025-06-23 16:56:03,"Bandra, Mumbai","Powai, Mumbai",10.56,Completed,2025-06-24 14:29:03,2025-06-24 14:50:10.200
135,581,65,2025-04-13 19:20:44,"Jayanagar, Bangalore","Koramangala, Bangalore",2.46,Completed,2025-04-13 19:35:44,2025-04-13 19:45:44.000
136,476,341,2025-06-13 04:13:25,"Viman Nagar, Pune","Aundh, Pune",14.04,Completed,2025-06-13 13:50:25,2025-06-13 14:18:29.800
137,33,34,2025-12-26 13:48:24,"Indiranagar, Bangalore","Hebbal, Bangalore",14.26,Completed,2025-12-26 23:53:24,2025-12-27 00:21:55.200
138,173,80,2025-06-29 06:00:08,"Whitefield, Bangalore","Jayanagar, Bangalore",6.23,Completed,2025-06-29 07:34:08,2025-06-29 07:46:35.600
139,179,376,2025-05-24 10:07:38,"Karol Bagh, Delhi","Connaught Place, Delhi",1.12,Completed,2025-05-24 19:59:38,2025-05-24 20:09:38.000
140,413,197,2025-12-02 08:02:41,"Hinjewadi, Pune","Koregaon Park, Pune",7.32,Completed,2025-12-02 13:55:41,2025-12-02 14:10:19.400
141,527,24,2025-07-16 17:35:41,"Yelahanka, Bangalore","Whitefield, Bangalore",2.12,Cancelled,2025-07-17 07:57:41,2025-07-17 08:07:41.000
142,317,360,2025-08-19 11:23:00,"Hadapsar, Pune","Koregaon Park, Pune",23.72,Completed,2025-08-20 06:40:00,2025-08-20 07:27:26.400
143,334,183,2025-06-17 14:26:19,"Andheri, Mumbai","Powai, Mumbai",7.65,Completed,2025-06-18 04:21:19,2025-06-18 04:36:37.000
144,527,127,2025-09-14 00:48:35,"Dwarka, Delhi","Karol Bagh, Delhi",19.31,Completed,2025-09-14 17:10:35,2025-09-14 17:49:12.200
145,180,45,2026-01-07 09:46:52,"Vasant Kunj, Delhi","Connaught Place, Delhi",12.63,Cancelled,2026-01-07 17:36:52,2026-01-07 18:02:07.600
146,218,65,2025-09-11 17:08:59,"Bandra, Mumbai","Juhu, Mumbai",15.08,Completed,2025-09-12 05:56:59,2025-09-12 06:27:08.600
147,68,134,2025-08-26 01:16:32,"Hebbal, Bangalore","Koramangala, Bangalore",22.7,Cancelled,2025-08-26 15:12:32,2025-08-26 15:57:56.000
148,467,106,2025-03-13 15:19:16,"Viman Nagar, Pune","Shivajinagar, Pune",3.86,Completed,2025-03-14 08:17:16,2025-03-14 08:27:16.000
149,452,284,2025-04-09 12:06:12,"Connaught Place, Delhi","Vasant Kunj, Delhi",24.64,Completed,2025-04-09 16:41:12,2025-04-09 17:30:28.800
150,186,65,2025-07-25 12:49:41,"Kalyani Nagar, Pune","Viman Nagar, Pune",11.85,Completed,2025-07-25 19:59:41,2025-07-25 20:23:23.000
151,45,29,2025-10-27 23:47:32,"Yelahanka, Bangalore","Hebbal, Bangalore",8.15,Cancelled,2025-10-28 19:43:32,2025-10-28 19:59:50.000
152,303,220,2025-04-02 06:17:49,"Indiranagar, Bangalore","Yelahanka, Bangalore",8.06,Completed,2025-04-03 02:26:49,2025-04-03 02:42:56.200
153,266,301,2025-11-23 18:34:47,"Karol Bagh, Delhi","Saket, Delhi",10.94,Completed,2025-11-24 03:30:47,2025-11-24 03:52:39.800
154,452,93,2025-03-24 06:41:02,"Kukatpally, Hyderabad","Madhapur, Hyderabad",17.87,Completed,2025-03-25 04:52:02,2025-03-25 05:27:46.400
155,555,323,2026-01-08 17:49:09,"Rajouri Garden, Delhi","Karol Bagh, Delhi",5.97,Completed,2026-01-08 23:01:09,2026-01-08 23:13:05.400
156,182,8,2025-10-28 17:55:36,"Kalyani Nagar, Pune","Aundh, Pune",20.97,Completed,2025-10-29 01:40:36,2025-10-29 02:22:32.400
157,376,311,2026-01-31 07:01:30,"Hitech City, Hyderabad","Kukatpally, Hyderabad",2.46,Completed,2026-01-31 11:05:30,2026-01-31 11:15:30.000
158,339,356,2026-01-28 10:42:27,"Vasant Kunj, Delhi","Lajpat Nagar, Delhi",3.13,Cancelled,2026-01-28 16:26:27,2026-01-28 16:36:27.000
159,35,79,2025-11-08 01:32:56,"Yelahanka, Bangalore","Whitefield, Bangalore",7.47,Completed,2025-11-08 05:34:56,2025-11-08 05:49:52.400
160,56,171,2025-07-01 12:45:18,"Saket, Delhi","Rajouri Garden, Delhi",1.11,Completed,2025-07-01 18:00:18,2025-07-01 18:10:18.000
161,430,66,2025-12-26 22:19:22,"Aundh, Pune","Viman Nagar, Pune",10.71,Cancelled,2025-12-27 00:45:22,2025-12-27 01:06:47.200
162,518,187,2026-02-05 23:38:53,"Indiranagar, Bangalore","Hebbal, Bangalore",19.63,Completed,2026-02-06 23:34:53,2026-02-07 00:14:08.600
163,452,351,2025-12-19 17:53:58,"Hadapsar, Pune","Shivajinagar, Pune",1.02,Completed,2025-12-20 11:34:58,2025-12-20 11:44:58.000
164,310,293,2025-10-17 20:43:26,"Kalyani Nagar, Pune","Viman Nagar, Pune",9.94,Completed,2025-10-18 16:13:26,2025-10-18 16:33:18.800
165,257,115,2025-07-16 20:55:13,"Ameerpet, Hyderabad","Gachibowli, Hyderabad",20.62,Completed,2025-07-17 10:38:13,2025-07-17 11:19:27.400
166,552,121,2025-12-06 22:47:41,"Hinjewadi, Pune","Viman Nagar, Pune",8.46,Cancelled,2025-12-07 01:27:41,2025-12-07 01:44:36.200
167,190,122,2025-10-04 12:55:23,"Dwarka, Delhi","Connaught Place, Delhi",8.87,Cancelled,2025-10-04 18:23:23,2025-10-04 18:41:07.400
168,309,353,2025-08-04 10:44:32,"Shivajinagar, Pune","Aundh, Pune",5.78,Cancelled,2025-08-04 22:34:32,2025-08-04 22:46:05.600
169,334,344,2025-03-27 07:56:41,"Lajpat Nagar, Delhi","Saket, Delhi",4.53,Cancelled,2025-03-27 08:11:41,2025-03-27 08:21:41.000
170,532,314,2025-06-30 09:02:31,"Banjara Hills, Hyderabad","Hitech City, Hyderabad",1.37,Completed,2025-07-01 08:21:31,2025-07-01 08:31:31.000
171,292,196,2026-01-28 11:46:21,"Saket, Delhi","Dwarka, Delhi",13.23,Completed,2026-01-29 03:24:21,2026-01-29 03:50:48.600
